epoch,train_loss,val_loss,train_acc,val_acc,val_mae
1,4.915280074164981,2.852770791230378,0.3253968253968254,0.3111111111111111,1.045167757846691
2,3.2641715715801904,2.539234263808639,0.3380952380952381,0.32592592592592595,1.018310151276765
3,3.032213798401848,2.474512912608959,0.32063492063492066,0.362962962962963,1.0130993635566146
4,2.745664204491509,2.485311250333433,0.3603174603174603,0.32592592592592595,1.0163079999111317
5,2.685336936466278,2.4846634017096627,0.3412698412698413,0.3111111111111111,1.0359950326107166
6,2.649893705428593,2.458722863373933,0.3492063492063492,0.5407407407407407,0.9948786629570855
7,2.64280237924485,2.386714225345188,0.373015873015873,0.32592592592592595,1.0076193028026157
8,2.3032959309835284,1.6630409646917272,0.5031746031746032,0.5407407407407407,0.7160589584597835
9,1.6158443519047327,1.2165322842421356,0.6095238095238096,0.5851851851851851,0.5274932583173116
10,1.329914326894851,1.0889218308307507,0.6571428571428571,0.5851851851851851,0.5128482794320142
11,1.1821613410162548,0.8936880222073308,0.7507936507936508,0.7333333333333333,0.40203796294000416
12,1.0318248385474795,0.9308476461304559,0.8015873015873016,0.6962962962962963,0.4258646246459749
