epoch,train_loss,val_loss,train_acc,val_acc,val_mae
1,6.36197802982633,2.4946912853806107,0.31587301587301586,0.3111111111111111,1.0211832651385555
2,2.882850810459682,2.5601559497691966,0.2984126984126984,0.32592592592592595,0.9836583892504375
3,2.981941194382925,2.5027876712657786,0.3476190476190476,0.3111111111111111,0.9746718269807321
4,2.8886001549069844,2.484273910522461,0.33015873015873015,0.32592592592592595,1.0471006525887383
5,2.7947121362837533,2.57004203443174,0.30952380952380953,0.32592592592592595,1.0985931405314693
6,2.7265886768462164,2.465851306915283,0.36666666666666664,0.6222222222222222,1.0585299324106288
7,2.4432323508792453,1.7266320528807464,0.5158730158730159,0.6370370370370371,0.7623562022491738
8,1.4090487915372092,1.3487041535200897,0.6666666666666666,0.6222222222222222,0.6760944582797863
9,1.1419681806412953,0.695075621869829,0.7047619047619048,0.7407407407407407,0.34425897245053894
10,1.0771920877789694,0.5485007771739253,0.7571428571428571,0.8518518518518519,0.275834588209788
11,1.0621781545972067,0.46836088123144926,0.753968253968254,0.9111111111111111,0.2528493366859577
12,0.7530143938367329,0.634459673916852,0.8888888888888888,0.762962962962963,0.36082138551606074
